isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
4.50000000e-05,1.67925966e-04,4.50000000e-05,4.50000117e-05,4.50000000e-05,2.59122463e-15,4.50000000e-05,-2.43343159e-15,4.50000000e-05,8.35974144e-18,4.50000000e-05,1.05935266e-15,4.50000000e-05,1.58786079e-15,4.50000000e-05,-2.67122368e-18,4.50000000e-05,3.49428473e-06,4.50000000e-05,6.11030433e-01,4.50000000e-05,3.21256634e-01,4.50000000e-05,1.07304936e+00,4.50000000e-05,1.07303382e+00,4.50000000e-05,2.86181601e+05,4.50000000e-05,6.48056382e+10,4.50000000e-05,1.03141377e+10,4.50000000e-05,3.73168717e+00,0.840,0.500,sky130
4.75000000e-05,1.71241443e-04,4.75000000e-05,4.75000091e-05,4.75000000e-05,2.59562332e-15,4.75000000e-05,-2.44054379e-15,4.75000000e-05,8.38370532e-18,4.75000000e-05,1.06134049e-15,4.75000000e-05,1.59086465e-15,4.75000000e-05,-2.68133817e-18,4.75000000e-05,3.62547364e-06,4.75000000e-05,6.10958311e-01,4.75000000e-05,3.28228655e-01,4.75000000e-05,1.08748779e+00,4.75000000e-05,1.08747139e+00,4.75000000e-05,2.75826030e+05,4.75000000e-05,6.59731486e+10,4.75000000e-05,1.04999527e+10,4.75000000e-05,3.60508232e+00,0.840,0.500,sky130
5.00000000e-05,1.74406746e-04,5.00000000e-05,5.00000071e-05,5.00000000e-05,2.59970052e-15,5.00000000e-05,-2.44723597e-15,5.00000000e-05,8.40629222e-18,5.00000000e-05,1.06317613e-15,5.00000000e-05,1.59363938e-15,5.00000000e-05,-2.69117383e-18,5.00000000e-05,3.75368345e-06,5.00000000e-05,6.10887569e-01,5.00000000e-05,3.34979881e-01,5.00000000e-05,1.10165060e+00,5.00000000e-05,1.10163334e+00,5.00000000e-05,2.66404990e+05,5.00000000e-05,6.70872452e+10,5.00000000e-05,1.06772667e+10,5.00000000e-05,3.48813443e+00,0.840,0.500,sky130
5.25000000e-05,1.77432777e-04,5.25000000e-05,5.25000054e-05,5.25000000e-05,2.60349418e-15,5.25000000e-05,-2.45355641e-15,5.25000000e-05,8.42766692e-18,5.25000000e-05,1.06487808e-15,5.25000000e-05,1.59621280e-15,5.25000000e-05,-2.70076971e-18,5.25000000e-05,3.87905149e-06,5.25000000e-05,6.10818100e-01,5.25000000e-05,3.41528645e-01,5.25000000e-05,1.11555954e+00,5.25000000e-05,1.11554141e+00,5.25000000e-05,2.57794980e+05,5.25000000e-05,6.81517857e+10,5.25000000e-05,1.08466936e+10,5.25000000e-05,3.37967160e+00,0.840,0.500,sky130
5.50000000e-05,1.80329064e-04,5.50000000e-05,5.50000040e-05,5.50000000e-05,2.60703651e-15,5.50000000e-05,-2.45954620e-15,5.50000000e-05,8.44796872e-18,5.50000000e-05,1.06646202e-15,5.50000000e-05,1.59860843e-15,5.50000000e-05,-2.71015783e-18,5.50000000e-05,4.00170302e-06,5.50000000e-05,6.10749806e-01,5.50000000e-05,3.47891108e-01,5.50000000e-05,1.12923379e+00,5.50000000e-05,1.12921480e+00,5.50000000e-05,2.49893607e+05,5.50000000e-05,6.91701338e+10,5.50000000e-05,1.10087687e+10,5.50000000e-05,3.27871002e+00,0.840,0.500,sky130
5.75000000e-05,1.83104015e-04,5.75000000e-05,5.75000028e-05,5.75000000e-05,2.61035508e-15,5.75000000e-05,-2.46524050e-15,5.75000000e-05,8.46731613e-18,5.75000000e-05,1.06794128e-15,5.75000000e-05,1.60084636e-15,5.75000000e-05,-2.71936463e-18,5.75000000e-05,4.12175292e-06,5.75000000e-05,6.10682602e-01,5.75000000e-05,3.54081595e-01,5.75000000e-05,1.14269043e+00,5.75000000e-05,1.14267058e+00,5.75000000e-05,2.42615222e+05,5.75000000e-05,7.01452521e+10,5.75000000e-05,1.11639636e+10,5.75000000e-05,3.18441750e+00,0.840,0.500,sky130
6.00000000e-05,1.85765109e-04,6.00000000e-05,6.00000018e-05,6.00000000e-05,2.61347357e-15,6.00000000e-05,-2.47066960e-15,6.00000000e-05,8.48581060e-18,6.00000000e-05,1.06932729e-15,6.00000000e-05,1.60294376e-15,6.00000000e-05,-2.72841204e-18,6.00000000e-05,4.23930717e-06,6.00000000e-05,6.10616413e-01,6.00000000e-05,3.60112880e-01,6.00000000e-05,1.15594470e+00,6.00000000e-05,1.15592399e+00,6.00000000e-05,2.35887602e+05,6.00000000e-05,7.10797733e+10,6.00000000e-05,1.13126973e+10,6.00000000e-05,3.09608506e+00,0.840,0.500,sky130
6.25000000e-05,1.88319048e-04,6.25000000e-05,6.25000008e-05,6.25000000e-05,2.61641245e-15,6.25000000e-05,-2.47585973e-15,6.25000000e-05,8.50353937e-18,6.25000000e-05,1.07062991e-15,6.25000000e-05,1.60491544e-15,6.25000000e-05,-2.73731836e-18,6.25000000e-05,4.35446397e-06,6.25000000e-05,6.10551168e-01,6.25000000e-05,3.65996405e-01,6.25000000e-05,1.16901031e+00,6.25000000e-05,1.16898873e+00,6.25000000e-05,2.29649391e+05,6.25000000e-05,7.19760554e+10,6.25000000e-05,1.14553450e+10,6.25000000e-05,3.01310472e+00,0.840,0.500,sky130
6.50000000e-05,1.90771877e-04,6.50000000e-05,6.49999999e-05,6.50000000e-05,2.61918950e-15,6.50000000e-05,-2.48083372e-15,6.50000000e-05,8.52057791e-18,6.50000000e-05,1.07185764e-15,6.50000000e-05,1.60677421e-15,6.50000000e-05,-2.74609887e-18,6.50000000e-05,4.46731468e-06,6.50000000e-05,6.10486806e-01,6.50000000e-05,3.71742469e-01,6.50000000e-05,1.18189963e+00,6.50000000e-05,1.18187719e+00,6.50000000e-05,2.23848122e+05,6.50000000e-05,7.28362254e+10,6.50000000e-05,1.15922453e+10,6.50000000e-05,2.93495195e+00,0.840,0.500,sky130
6.75000000e-05,1.93129082e-04,6.75000000e-05,6.74999990e-05,6.75000000e-05,2.62182022e-15,6.75000000e-05,-2.48561151e-15,6.75000000e-05,8.53699175e-18,6.75000000e-05,1.07301791e-15,6.75000000e-05,1.60853123e-15,6.75000000e-05,-2.75476645e-18,6.75000000e-05,4.57794462e-06,6.75000000e-05,6.10423272e-01,6.75000000e-05,3.77360379e-01,6.75000000e-05,1.19462386e+00,6.75000000e-05,1.19460056e+00,6.75000000e-05,2.18438640e+05,6.75000000e-05,7.36622140e+10,6.75000000e-05,1.17237055e+10,6.75000000e-05,2.86117163e+00,0.840,0.500,sky130
7.00000000e-05,1.95395666e-04,7.00000000e-05,6.99999981e-05,7.00000000e-05,2.62431820e-15,7.00000000e-05,-2.49021062e-15,7.00000000e-05,8.55283810e-18,7.00000000e-05,1.07411718e-15,7.00000000e-05,1.61019623e-15,7.00000000e-05,-2.76333194e-18,7.00000000e-05,4.68643371e-06,7.00000000e-05,6.10360514e-01,7.00000000e-05,3.82858579e-01,7.00000000e-05,1.20719320e+00,7.00000000e-05,1.20716903e+00,7.00000000e-05,2.13381872e+05,7.00000000e-05,7.44557829e+10,7.00000000e-05,1.18500059e+10,7.00000000e-05,2.79136674e+00,0.840,0.500,sky130
7.25000000e-05,1.97576213e-04,7.25000000e-05,7.24999972e-05,7.25000000e-05,2.62669539e-15,7.25000000e-05,-2.49464651e-15,7.25000000e-05,8.56816704e-18,7.25000000e-05,1.07516112e-15,7.25000000e-05,1.61177773e-15,7.25000000e-05,-2.77180454e-18,7.25000000e-05,4.79285702e-06,7.25000000e-05,6.10298485e-01,7.25000000e-05,3.88244759e-01,7.25000000e-05,1.21961695e+00,7.25000000e-05,1.21959192e+00,7.25000000e-05,2.08643821e+05,7.25000000e-05,7.52185479e+10,7.25000000e-05,1.19714037e+10,7.25000000e-05,2.72518926e+00,0.840,0.500,sky130
7.50000000e-05,1.99674941e-04,7.50000000e-05,7.49999962e-05,7.50000000e-05,2.62896235e-15,7.50000000e-05,-2.49893284e-15,7.50000000e-05,8.58302264e-18,7.50000000e-05,1.07615473e-15,7.50000000e-05,1.61328327e-15,7.50000000e-05,-2.78019204e-18,7.50000000e-05,4.89728525e-06,7.50000000e-05,6.10237142e-01,7.50000000e-05,3.93525944e-01,7.50000000e-05,1.23190363e+00,7.50000000e-05,1.23187774e+00,7.50000000e-05,2.04194763e+05,7.50000000e-05,7.59519972e+10,7.50000000e-05,1.20881358e+10,7.50000000e-05,2.66233268e+00,0.840,0.500,sky130
7.75000000e-05,2.01695743e-04,7.75000000e-05,7.74999952e-05,7.75000000e-05,2.63112840e-15,7.75000000e-05,-2.50308174e-15,7.75000000e-05,8.59744380e-18,7.75000000e-05,1.07710241e-15,7.75000000e-05,1.61471946e-15,7.75000000e-05,-2.78850110e-18,7.75000000e-05,4.99978515e-06,7.75000000e-05,6.10176447e-01,7.75000000e-05,3.98708572e-01,7.75000000e-05,1.24406107e+00,7.75000000e-05,1.24403432e+00,7.75000000e-05,2.00008595e+05,7.75000000e-05,7.66575066e+10,7.75000000e-05,1.22004211e+10,7.75000000e-05,2.60252588e+00,0.840,0.500,sky130
8.00000000e-05,2.03642228e-04,8.00000000e-05,7.99999941e-05,8.00000000e-05,2.63320187e-15,8.00000000e-05,-2.50710405e-15,8.00000000e-05,8.61146494e-18,8.00000000e-05,1.07800806e-15,8.00000000e-05,1.61609220e-15,8.00000000e-05,-2.79673740e-18,8.00000000e-05,5.10041984e-06,8.00000000e-05,6.10116364e-01,8.00000000e-05,4.03798559e-01,8.00000000e-05,1.25609649e+00,8.00000000e-05,1.25606887e+00,8.00000000e-05,1.96062291e+05,8.00000000e-05,7.73363526e+10,8.00000000e-05,1.23084628e+10,8.00000000e-05,2.54552804e+00,0.840,0.500,sky130
8.25000000e-05,2.05517749e-04,8.25000000e-05,8.24999928e-05,8.25000000e-05,2.63519015e-15,8.25000000e-05,-2.51100944e-15,8.25000000e-05,8.62511669e-18,8.25000000e-05,1.07887517e-15,8.25000000e-05,1.61740670e-15,8.25000000e-05,-2.80490581e-18,8.25000000e-05,5.19924914e-06,8.25000000e-05,6.10056858e-01,8.25000000e-05,4.08801360e-01,8.25000000e-05,1.26801653e+00,8.25000000e-05,1.26798804e+00,8.25000000e-05,1.92335465e+05,8.25000000e-05,7.79897228e+10,8.25000000e-05,1.24124499e+10,8.25000000e-05,2.49112445e+00,0.840,0.500,sky130
8.50000000e-05,2.07325431e-04,8.50000000e-05,8.49999914e-05,8.50000000e-05,2.63709987e-15,8.50000000e-05,-2.51480658e-15,8.50000000e-05,8.63842634e-18,8.50000000e-05,1.07970682e-15,8.50000000e-05,1.61866763e-15,8.50000000e-05,-2.81301051e-18,8.50000000e-05,5.29632986e-06,8.50000000e-05,6.09997900e-01,8.50000000e-05,4.13722014e-01,8.50000000e-05,1.27982735e+00,8.50000000e-05,1.27979801e+00,8.50000000e-05,1.88809992e+05,8.50000000e-05,7.86187254e+10,8.50000000e-05,1.25125588e+10,8.50000000e-05,2.43912296e+00,0.840,0.500,sky130
8.75000000e-05,2.09068190e-04,8.75000000e-05,8.74999898e-05,8.75000000e-05,2.63893697e-15,8.75000000e-05,-2.51850329e-15,8.75000000e-05,8.65141827e-18,8.75000000e-05,1.08050578e-15,8.75000000e-05,1.61987917e-15,8.75000000e-05,-2.82105512e-18,8.75000000e-05,5.39171598e-06,8.75000000e-05,6.09939460e-01,8.75000000e-05,4.18565189e-01,8.75000000e-05,1.29153468e+00,8.75000000e-05,1.29150447e+00,8.75000000e-05,1.85469710e+05,8.75000000e-05,7.92243971e+10,8.75000000e-05,1.26089544e+10,8.75000000e-05,2.38935103e+00,0.840,0.500,sky130
9.00000000e-05,2.10748760e-04,9.00000000e-05,8.99999880e-05,9.00000000e-05,2.64070678e-15,9.00000000e-05,-2.52210658e-15,9.00000000e-05,8.66411438e-18,9.00000000e-05,1.08127453e-15,9.00000000e-05,1.62104504e-15,9.00000000e-05,-2.82904275e-18,9.00000000e-05,5.48545892e-06,9.00000000e-05,6.09881511e-01,9.00000000e-05,4.23335216e-01,9.00000000e-05,1.30314382e+00,9.00000000e-05,1.30311275e+00,9.00000000e-05,1.82300153e+05,9.00000000e-05,7.98077095e+10,9.00000000e-05,1.27017915e+10,9.00000000e-05,2.34165320e+00,0.840,0.500,sky130
9.25000000e-05,2.12369702e-04,9.25000000e-05,9.24999860e-05,9.25000000e-05,2.64241413e-15,9.25000000e-05,-2.52562285e-15,9.25000000e-05,8.67653432e-18,9.25000000e-05,1.08201531e-15,9.25000000e-05,1.62216862e-15,9.25000000e-05,-2.83697611e-18,9.25000000e-05,5.57760768e-06,9.25000000e-05,6.09824030e-01,9.25000000e-05,4.28036127e-01,9.25000000e-05,1.31465972e+00,9.25000000e-05,1.31462779e+00,9.25000000e-05,1.79288336e+05,9.25000000e-05,8.03695755e+10,9.25000000e-05,1.27912152e+10,9.25000000e-05,2.29588902e+00,0.840,0.500,sky130
9.50000000e-05,2.13933424e-04,9.50000000e-05,9.49999837e-05,9.50000000e-05,2.64406335e-15,9.50000000e-05,-2.52905784e-15,9.50000000e-05,8.68869583e-18,9.50000000e-05,1.08273012e-15,9.50000000e-05,1.62325292e-15,9.50000000e-05,-2.84485754e-18,9.50000000e-05,5.66820906e-06,9.50000000e-05,6.09766993e-01,9.50000000e-05,4.32671679e-01,9.50000000e-05,1.32608701e+00,9.50000000e-05,1.32605421e+00,9.50000000e-05,1.76422568e+05,9.50000000e-05,8.09108541e+10,9.50000000e-05,1.28773624e+10,9.50000000e-05,2.25193116e+00,0.840,0.500,sky130
